Page,English Translation
1,Agreed to consult on a study paper.
1,We suggest you consult in scientific research.
1,"Before you say yes, the Seeker needs to let you know."
1,"The objectives, procedures and time frame required;"
1,Any application procedures;
1,With any possible and foreseeable risks and any harassment or benefits resulting from...
1,For research;
1,Any alternative and potential procedures or remedies;
1,And...
1,Ivy's staying confidential.
1,"If necessary, the Seeker should also inform you about"
1,Any medical compensation or treatment guaranteed to you in the event of injury or damage;
1,An unexpected risk;
1,Possible cases
1,To urge the Seeker to stop you from participating in the research;
1,Any additional effort that you may make;
1,What happens if you decide to stop sharing in the search?
1,When do you need to be informed of new conclusions that could affect your intention in the research?
1,And somebody's mom's gonna buy a search.
1,"If you decide to share, you should be given a signed copy of this document and a written summary of this document."
1,Research
1,"If you have any questions about this search, you can call anytime..."
1,On the number.
1,So you have some questions about H.
1,I'm taking part in this research or what you're supposed to do in case.
1,You've been hurt or hurt.
1,It's possible to contact anytime...
1,On the number.
1,Your involvement in this research is optional.
1,You won't be punished and you won't lose any benefits if you decide not to consult or...
1,Stop sharing at any time.
2,"As soon as you're on this document, you admit that you voluntarily agree to the references in this paper and that"
2,The above-mentioned information has orally explained it to you.
2,Sign the participant.
2,Date
2,Witness signature.
2,Date
