Page,Original Text,Translated Text,BBox
0,وى,Wei!,"(699, 200, 897, 276)"
0,وَجَدَ,Found,"(1649, 806, 1833, 921)"
0,قِلادَةٌ,A necklace.,"(1384, 787, 1603, 926)"
0,في,Fi.,"(1266, 810, 1349, 942)"
0,الطّريق.,The way.,"(898, 780, 1217, 939)"
0,أَخَذَ,It's taken.,"(683, 773, 852, 897)"
0,رده,Response,"(1702, 1664, 1785, 1744)"
0,سل,Sal.,"(1627, 1664, 1662, 1744)"
0,هطلس,Hulls.,"(1381, 1668, 1564, 1740)"
0,ةم,Hmm.,"(1025, 1670, 1226, 1732)"
0,مد,D,"(1608, 1733, 1797, 1835)"
0,المدرّمن,The coaches.,"(1266, 1697, 1559, 1846)"
0,الولدء,Boys.,"(976, 1697, 1219, 1825)"
0,وَقَالَ,He said...,"(1633, 1928, 1835, 2056)"
0,المدَيَسُ,Madness.,"(1295, 1907, 1589, 2081)"
0,رَفِيقٌ,Comrade.,"(1013, 1928, 1218, 2060)"
0,وَلَدُ,A boy.,"(799, 1919, 936, 2055)"
